Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol:   7 11NL        
No. of strips: 2
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    6:30Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V   10:20Hrs
 5:20 ->  833V at 13uA  3316Vhrs
 5:20 ->  834V at 13uA  3320Vhrs
 5:25 ->  840V at 12uA  3386Vhrs
 5:25 ->  840V at 12uA  3390Vhrs
 5:30 ->  846V at 12uA  3456Vhrs
 5:30 ->  847V at 12uA  3460Vhrs
 5:35 ->  853V at 12uA  3527Vhrs
 5:35 ->  853V at 12uA  3531Vhrs
 5:40 ->  859V at 12uA  3598Vhrs
 5:40 ->  860V at 12uA  3603Vhrs
 5:45 ->  866V at 12uA  3670Vhrs
 5:45 ->  866V at 12uA  3675Vhrs
 5:50 ->  872V at 11uA  3742Vhrs
 5:50 ->  872V at 12uA  3748Vhrs
 5:55 ->  878V at 11uA  3815Vhrs
 5:55 ->  879V at 11uA  3821Vhrs
 6:00 ->  885V at 11uA  3889Vhrs
 6:00 ->  885V at 11uA  3895Vhrs
 6:05 ->  891V at 11uA  3963Vhrs
 6:05 ->  892V at 11uA  3969Vhrs
 6:10 ->  898V at 11uA  4037Vhrs
 6:10 ->  898V at 11uA  4044Vhrs
 6:15 ->  904V at 11uA  4112Vhrs
 6:15 ->  905V at 10uA  4120Vhrs
 6:20 ->  910V at 10uA  4188Vhrs
 6:20 ->  911V at 10uA  4196Vhrs
 6:25 ->  917V at 10uA  4264Vhrs
 6:25 ->  918V at 10uA  4272Vhrs
 6:30 ->  923V at 10uA  4341Vhrs
 6:30 ->  924V at 10uA  4349Vhrs
 6:35 ->  930V at 10uA  4418Vhrs
 6:35 ->  930V at 10uA  4427Vhrs
 6:40 ->  936V at 10uA  4496Vhrs
 6:40 ->  937V at 10uA  4505Vhrs
 6:45 ->  942V at 10uA  4574Vhrs
 6:45 ->  943V at 10uA  4583Vhrs
 6:50 ->  949V at 10uA  4653Vhrs
 6:50 ->  950V at 10uA  4663Vhrs
 6:55 ->  955V at 10uA  4732Vhrs
 6:55 ->  956V at 10uA  4742Vhrs
 7:00 ->  962V at 10uA  4812Vhrs
 7:00 ->  963V at 10uA  4823Vhrs
 7:05 ->  968V at 10uA  4892Vhrs
 7:05 ->  969V at 9uA  4903Vhrs
 7:10 ->  975V at 10uA  4974Vhrs
 7:10 ->  975V at 10uA  4985Vhrs
 7:15 ->  981V at 10uA  5055Vhrs
 7:15 ->  982V at 10uA  5067Vhrs
 7:20 ->  987V at 10uA  5137Vhrs
 7:20 ->  988V at 10uA  5149Vhrs
 7:25 ->  994V at 9uA  5219Vhrs
 7:25 ->  995V at 9uA  5232Vhrs
 7:30 -> 1000V at 9uA  5300Vhrs
Step  3
 7:30 -> 1035V at 10uA  5316Vhrs
 7:35 -> 1194V at 11uA  5392Vhrs
 7:35 -> 1230V at 12uA  5410Vhrs
 7:40 -> 1389V at 13uA  5500Vhrs
 7:40 -> 1425V at 13uA  5521Vhrs
 7:45 -> 1584V at 15uA  5623Vhrs
 7:45 -> 1620V at 15uA  5649Vhrs
 7:50 -> 1778V at 16uA  5764Vhrs
 7:50 -> 1816V at 16uA  5793Vhrs
 7:55 -> 1972V at 18uA  5920Vhrs
 7:56 -> 2011V at 18uA  5953Vhrs
 8:00 -> 2167V at 19uA  6092Vhrs
 8:01 -> 2206V at 19uA  6129Vhrs
 8:05 -> 2361V at 20uA  6281Vhrs
 8:06 -> 2401V at 20uA  6322Vhrs
 8:10 -> 2556V at 21uA  6486Vhrs
 8:11 -> 2597V at 21uA  6531Vhrs
 8:15 -> 2750V at 23uA  6707Vhrs
 8:16 -> 2792V at 23uA  6756Vhrs
 8:20 -> 2945V at 23uA  6944Vhrs
