Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol: 4 7 24 CM       
No. of strips: 3
Rehydraton:for 12:00Hrs at 20 C
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    1:00Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V    5:30Hrs


 5:10 -> 8000V at 18uA 16084Vhrs
 5:10 -> 8000V at 18uA 16126Vhrs
 5:15 -> 8000V at 18uA 16751Vhrs
 5:15 -> 8000V at 18uA 16795Vhrs
 5:20 -> 8000V at 18uA 17419Vhrs
 5:20 -> 8000V at 18uA 17466Vhrs
 5:25 -> 8000V at 18uA 18085Vhrs
 5:25 -> 8000V at 18uA 18135Vhrs
 5:30 -> 8000V at 18uA 18752Vhrs
 5:30 -> 8000V at 18uA 18804Vhrs
 5:35 -> 8000V at 18uA 19419Vhrs
 5:35 -> 8000V at 18uA 19474Vhrs
 5:40 -> 8000V at 18uA 20086Vhrs
 5:40 -> 8000V at 18uA 20143Vhrs
 5:45 -> 8000V at 18uA 20753Vhrs
 5:45 -> 8000V at 18uA 20812Vhrs
 5:50 -> 8000V at 18uA 21420Vhrs
 5:50 -> 8000V at 18uA 21482Vhrs
 5:55 -> 8000V at 18uA 22087Vhrs
 5:55 -> 8000V at 18uA 22151Vhrs
 6:00 -> 8000V at 17uA 22754Vhrs
 6:00 -> 8000V at 17uA 22821Vhrs
 6:05 -> 8000V at 17uA 23420Vhrs
 6:05 -> 8000V at 17uA 23490Vhrs
 6:10 -> 8000V at 18uA 24087Vhrs
 6:10 -> 8000V at 18uA 24160Vhrs
 6:15 -> 8000V at 18uA 24755Vhrs
 6:15 -> 8000V at 18uA 24829Vhrs
 6:20 -> 8000V at 18uA 25422Vhrs
 6:20 -> 8000V at 18uA 25499Vhrs
 6:25 -> 8000V at 18uA 26088Vhrs
 6:25 -> 8000V at 18uA 26168Vhrs
 6:30 -> 8000V at 18uA 26755Vhrs
 6:30 -> 8000V at 18uA 26838Vhrs
 6:35 -> 8000V at 18uA 27422Vhrs
 6:35 -> 8000V at 18uA 27507Vhrs
 6:40 -> 8000V at 18uA 28089Vhrs
 6:40 -> 8000V at 18uA 28176Vhrs
 6:45 -> 8000V at 18uA 28756Vhrs
 6:45 -> 8000V at 18uA 28845Vhrs
 6:50 -> 8000V at 18uA 29423Vhrs
 6:50 -> 8000V at 18uA 29516Vhrs
 6:55 -> 8000V at 18uA 30089Vhrs
 6:55 -> 8000V at 18uA 30185Vhrs
 7:00 -> 8000V at 18uA 30756Vhrs
 7:00 -> 8000V at 18uA 30854Vhrs
 7:05 -> 8000V at 18uA 31423Vhrs
 7:05 -> 8000V at 18uA 31524Vhrs
 7:10 -> 8000V at 18uA 32091Vhrs
 7:10 -> 8000V at 18uA 32193Vhrs
 7:15 -> 8000V at 18uA 32757Vhrs
 7:15 -> 8000V at 18uA 32862Vhrs
 7:20 -> 8000V at 18uA 33423Vhrs
 7:20 -> 8000V at 18uA 33531Vhrs
 7:25 -> 8000V at 18uA 34089Vhrs
 7:25 -> 8000V at 18uA 34199Vhrs
 7:30 -> 8000V at 18uA 34754Vhrs
 7:30 -> 8000V at 18uA 34867Vhrs
 7:35 -> 8000V at 18uA 35420Vhrs
 7:35 -> 8000V at 18uA 35535Vhrs
 7:40 -> 8000V at 18uA 36086Vhrs
 7:40 -> 8000V at 18uA 36203Vhrs
 7:45 -> 8000V at 18uA 36752Vhrs
 7:45 -> 8000V at 18uA 36872Vhrs
 7:50 -> 8000V at 18uA 37418Vhrs
 7:50 -> 8000V at 18uA 37540Vhrs
 7:55 -> 8000V at 18uA 38083Vhrs
 7:55 -> 8000V at 18uA 38208Vhrs
 8:00 -> 8000V at 18uA 38749Vhrs
