Amersham Biosciences
   Ettan IPGphor  
Version A1  02/05/03 
Serial No.  20099890

Protocol: 3 11NL 24CM     
No. of strips: 6
Rehydraton:for  8:00Hrs at 20 C
IEF Params: 50uA/Strip at 20 C
S1  Step-n-hold  500V    1:00Hrs
S2    Gradient  1000V    3:00Hrs
S3    Gradient  8000V    3:00Hrs
S4  Step-n-hold 8000V    8:45Hrs


 5:15 -> 3917V at 23uA  5759Vhrs
 5:15 -> 3931V at 23uA  5782Vhrs
 5:20 -> 4112V at 23uA  6094Vhrs
 5:20 -> 4126V at 23uA  6119Vhrs
 5:25 -> 4306V at 24uA  6445Vhrs
 5:25 -> 4321V at 24uA  6472Vhrs
 5:30 -> 4501V at 25uA  6812Vhrs
 5:30 -> 4517V at 25uA  6842Vhrs
 5:35 -> 4695V at 25uA  7195Vhrs
 5:35 -> 4712V at 25uA  7228Vhrs
 5:40 -> 4890V at 26uA  7594Vhrs
 5:40 -> 4907V at 26uA  7630Vhrs
 5:45 -> 5084V at 27uA  8010Vhrs
 5:45 -> 5102V at 27uA  8049Vhrs
 5:50 -> 5279V at 27uA  8441Vhrs
 5:50 -> 5297V at 27uA  8484Vhrs
 5:55 -> 5473V at 28uA  8889Vhrs
 5:55 -> 5492V at 28uA  8935Vhrs
 6:00 -> 5667V at 29uA  9354Vhrs
 6:00 -> 5688V at 29uA  9403Vhrs
 6:05 -> 5862V at 30uA  9835Vhrs
 6:05 -> 5883V at 30uA  9886Vhrs
 6:10 -> 6056V at 30uA 10331Vhrs
 6:10 -> 6078V at 30uA 10387Vhrs
 6:15 -> 6251V at 31uA 10844Vhrs
 6:15 -> 6273V at 31uA 10903Vhrs
 6:20 -> 6445V at 30uA 11373Vhrs
 6:20 -> 6468V at 30uA 11437Vhrs
 6:25 -> 6640V at 32uA 11918Vhrs
 6:25 -> 6664V at 32uA 11986Vhrs
 6:30 -> 6834V at 33uA 12479Vhrs
 6:30 -> 6859V at 33uA 12551Vhrs
 6:35 -> 7029V at 34uA 13057Vhrs
 6:35 -> 7054V at 34uA 13134Vhrs
 6:40 -> 7223V at 34uA 13651Vhrs
